entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason
2024-03-29T20:06:00+09:00	40410.0	0	40403.2	-26.8	LONG	TRAILING_SL
2024-03-29T23:48:00+09:00	40505.0	0	40512.6	-27.6	SHORT	TRAILING_SL
2024-04-01T18:12:00+09:00	40605.0	0	40589.0	-4.0	SHORT	TP
2024-04-02T18:02:00+09:00	39865.0	3540	40045.0	160.0	LONG	HORIZON
2024-04-02T22:23:00+09:00	39730.0	660	39766.2	16.2	LONG	TP
2024-04-04T13:32:00+09:00	39970.0	180	39989.5	-39.5	SHORT	TRAILING_SL
2024-04-04T21:46:00+09:00	40130.0	120	40112.0	-38.0	LONG	TRAILING_SL
2024-04-05T07:50:00+09:00	39640.0	120	39641.9	-18.1	LONG	TRAILING_SL
2024-04-05T20:22:00+09:00	38835.0	1260	38833.4	-21.6	LONG	TRAILING_SL
2024-04-06T00:01:00+09:00	39000.0	120	38971.4	-48.6	LONG	TRAILING_SL
2024-04-08T18:03:00+09:00	39340.0	3540	39415.0	55.0	LONG	HORIZON
2024-04-09T06:33:00+09:00	38955.0	0	38948.9	-26.1	LONG	TRAILING_SL
2024-04-09T17:46:00+09:00	39500.0	0	39492.4	-27.6	LONG	TRAILING_SL
2024-04-09T22:11:00+09:00	39635.0	3540	39690.0	35.0	LONG	HORIZON
2024-04-10T06:19:00+09:00	39490.0	0	39499.9	-10.1	LONG	TP
2024-04-10T18:16:00+09:00	39665.0	0	39642.7	2.3	SHORT	TP
2024-04-11T00:01:00+09:00	39550.0	0	39536.7	-33.3	LONG	TRAILING_SL
2024-04-12T06:46:00+09:00	39140.0	0	39156.1	-36.1	SHORT	TRAILING_SL
2024-04-12T11:40:00+09:00	39505.0	240	39520.9	-4.1	LONG	TP
2024-04-12T21:53:00+09:00	39630.0	3600	39605.0	5.0	SHORT	HORIZON
2024-04-13T06:32:00+09:00	39280.0	3540	39425.0	125.0	LONG	HORIZON
2024-04-15T11:24:00+09:00	38870.0	120	38851.1	-38.9	LONG	TRAILING_SL
2024-04-15T19:14:00+09:00	38990.0	60	38952.2	-57.8	LONG	TRAILING_SL
2024-04-16T04:51:00+09:00	39305.0	3720	39355.0	-70.0	SHORT	HORIZON
2024-04-16T13:04:00+09:00	38700.0	300	38716.7	-3.3	LONG	TP
2024-04-16T20:41:00+09:00	38390.0	600	38410.5	0.5	LONG	TP
2024-04-17T11:33:00+09:00	38440.0	0	38422.9	-2.9	SHORT	TP
2024-04-17T19:55:00+09:00	38325.0	60	38343.2	-38.2	SHORT	TRAILING_SL
2024-04-18T01:43:00+09:00	38455.0	120	38429.1	5.9	SHORT	TP
2024-04-18T07:32:00+09:00	38490.0	0	38498.8	-28.8	SHORT	TRAILING_SL
2024-04-18T11:51:00+09:00	37820.0	0	37809.0	-31.0	LONG	TRAILING_SL
2024-04-18T19:25:00+09:00	37860.0	0	37880.1	0.1	LONG	TP
2024-04-19T11:08:00+09:00	37870.0	3540	37760.0	90.0	SHORT	HORIZON
2024-04-19T20:10:00+09:00	36825.0	300	36785.2	-59.8	LONG	TRAILING_SL
2024-04-20T06:46:00+09:00	37955.0	0	37944.1	-9.1	SHORT	TP
2024-04-22T13:07:00+09:00	37065.0	120	37072.2	-12.8	LONG	TRAILING_SL
2024-04-22T21:22:00+09:00	37315.0	3540	37190.0	-145.0	LONG	HORIZON
2024-04-23T03:04:00+09:00	37370.0	120	37343.2	6.8	SHORT	TP
2024-04-23T07:21:00+09:00	37500.0	3540	37380.0	100.0	SHORT	HORIZON
2024-04-23T11:56:00+09:00	37740.0	0	37730.7	-10.7	SHORT	TP
2024-04-23T19:45:00+09:00	37455.0	180	37439.4	-4.4	SHORT	TP
2024-04-24T01:55:00+09:00	37335.0	0	37347.6	-32.6	SHORT	TRAILING_SL
2024-04-24T07:23:00+09:00	37465.0	0	37460.7	-15.7	SHORT	TP
2024-04-24T21:40:00+09:00	38405.0	180	38421.5	-36.5	SHORT	TRAILING_SL
2024-04-25T07:34:00+09:00	37665.0	0	37650.2	-34.8	LONG	TRAILING_SL
2024-04-25T14:06:00+09:00	38135.0	0	38146.6	-31.6	SHORT	TRAILING_SL
2024-04-25T21:32:00+09:00	37770.0	60	37758.9	-31.1	LONG	TRAILING_SL
2024-04-26T06:49:00+09:00	38200.0	0	38191.8	-11.8	SHORT	TP
