entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason	cum_pnl
2024-07-31T19:24:00+09:00	38210.0	1740	38260.1	902.9	LONG	TP	-22172.9
2024-07-31T21:59:00+09:00	38455.0	180	38535.0	1800.9	LONG	TRAILING_SL	-20371.9
2024-07-31T23:46:00+09:00	39065.0	180	39155.2	2105.2	LONG	TP	-18266.8
2024-08-01T13:31:00+09:00	38515.0	1020	38727.7	3853.6	LONG	TRAILING_SL	-14413.2
2024-08-01T18:39:00+09:00	38150.0	240	38230.8	1215.1	LONG	TP	-13198.1
2024-08-02T01:49:00+09:00	38840.0	180	38806.8	-1063.4	LONG	TRAILING_SL	-14261.4
2024-08-02T18:41:00+09:00	36340.0	1800	36345.0	-450.0	LONG	HORIZON	-14711.4
2024-08-03T00:02:00+09:00	35935.0	5280	36017.4	1871.5	LONG	TP	-12840.0
2024-08-03T02:16:00+09:00	37440.0	1800	37480.0	-1200.0	SHORT	HORIZON	-14040.0
2024-08-03T08:24:00+09:00	37485.0	540	37409.7	1658.9	SHORT	TP	-12381.1
2024-08-05T17:48:00+09:00	34200.0	720	34279.6	1789.5	LONG	TP	-10591.6
2024-08-05T22:37:00+09:00	33125.0	420	32977.7	3819.4	SHORT	TP	-6772.2
2024-08-06T01:57:00+09:00	35590.0	1800	35625.0	-1100.0	SHORT	HORIZON	-7872.2
2024-08-06T18:18:00+09:00	33595.0	180	33800.1	5552.8	LONG	TP	-2319.4
2024-08-06T20:00:00+09:00	34360.0	240	34456.5	-3493.6	SHORT	TRAILING_SL	-5813.0
2024-08-06T23:04:00+09:00	33725.0	660	33874.8	3893.3	LONG	TP	-1919.7
2024-08-07T02:28:00+09:00	32930.0	360	32799.4	-4517.1	LONG	TRAILING_SL	-6436.8
2024-08-07T06:15:00+09:00	31590.0	360	31505.0	-3151.2	LONG	TRAILING_SL	-9588.0
2024-08-08T01:46:00+09:00	33725.0	300	33499.8	4103.0	SHORT	TP	-5484.9
