entry_ts	entry_price	exit_ts	exit_price	pnl	dir	reason
2024-01-30 08:46:00.000000000	36210.0	2024-01-30 08:48:00.000000000	36175.7	14.3	SHORT	TP
2024-01-30 14:35:00.000000000	36120.0	2024-01-30 14:41:00.000000000	36095.3	4.7	SHORT	TP
2024-01-31 02:29:00.000000000	35985.0	2024-01-31 02:30:00.000000000	35968.9	-3.9	SHORT	TP
2024-01-31 12:31:00.000000000	35915.0	2024-01-31 12:32:00.000000000	35942.4	7.4	LONG	TP
2024-02-01 04:01:00.000000000	35945.0	2024-02-01 04:38:00.000000000	35967.1	2.1	LONG	TP
2024-02-01 10:41:00.000000000	36015.0	2024-02-01 11:40:00.000000000	36035.0	0.0	LONG	HORIZON
2024-02-01 14:59:00.000000000	35985.0	2024-02-01 14:59:00.000000000	35951.1	13.9	SHORT	TP
2024-02-01 19:55:00.000000000	36270.0	2024-02-01 20:27:00.000000000	36288.0	-2.0	LONG	TP
2024-02-02 03:38:00.000000000	36045.0	2024-02-02 03:47:00.000000000	36082.6	17.6	LONG	TP
2024-02-02 11:02:00.000000000	36355.0	2024-02-02 11:06:00.000000000	36408.5	33.5	LONG	TP
2024-02-06 09:45:00.000000000	36125.0	2024-02-06 09:50:00.000000000	36175.6	30.6	LONG	TP
2024-02-06 22:14:00.000000000	36340.0	2024-02-06 22:18:00.000000000	36323.9	-3.9	SHORT	TP
2024-02-07 08:51:00.000000000	35915.0	2024-02-07 09:00:00.000000000	35945.4	10.4	LONG	TP
2024-02-07 14:32:00.000000000	36125.0	2024-02-07 14:35:00.000000000	36088.9	16.1	SHORT	TP
2024-02-08 03:03:00.000000000	36265.0	2024-02-08 03:11:00.000000000	36288.8	3.8	LONG	TP
2024-02-08 15:01:00.000000000	36930.0	2024-02-08 16:30:00.000000000	36870.7	39.3	SHORT	TP
2024-02-08 22:08:00.000000000	36225.0	2024-02-08 22:47:00.000000000	36245.6	0.6	LONG	TP
2024-02-09 02:45:00.000000000	37000.0	2024-02-09 02:56:00.000000000	37030.1	10.1	LONG	TP
2024-02-09 09:41:00.000000000	37155.0	2024-02-09 09:43:00.000000000	37255.0	-120.0	SHORT	SL
2024-02-09 14:48:00.000000000	36955.0	2024-02-09 15:00:00.000000000	36904.9	30.1	SHORT	TP
2024-02-09 18:08:00.000000000	36860.0	2024-02-09 18:24:00.000000000	36898.9	18.9	LONG	TP
2024-02-09 21:56:00.000000000	36940.0	2024-02-09 22:22:00.000000000	36840.0	-120.0	LONG	SL
2024-02-14 04:31:00.000000000	37625.0	2024-02-14 04:34:00.000000000	37665.9	20.9	LONG	TP
2024-02-14 15:00:00.000000000	37735.0	2024-02-14 16:30:00.000000000	37835.0	-120.0	SHORT	SL
2024-02-14 19:13:00.000000000	38085.0	2024-02-14 19:21:00.000000000	38048.4	16.6	SHORT	TP
2024-02-15 02:03:00.000000000	37835.0	2024-02-15 02:12:00.000000000	37879.7	24.7	LONG	TP
2024-02-15 08:49:00.000000000	38110.0	2024-02-15 09:00:00.000000000	38065.9	24.1	SHORT	TP
2024-02-15 13:03:00.000000000	38085.0	2024-02-15 13:14:00.000000000	38041.3	23.7	SHORT	TP
