 2024-04-25: n_trades: 1, win_rate: 1.0, pf: inf, pnl: 31.0, avg_pnl: 31.017131805419922, score: 1.144940169363057, threshold_trade: 0.4765869140625001, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 3, trades: []
 2024-04-26: n_trades: 3, win_rate: 0.0, pf: 0.0, pnl: -429.0, avg_pnl: -143.2239532470703, score: -2.0404309957269295, threshold_trade: 0.57177734375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 45, trades: []
 2024-04-30: n_trades: 0, win_rate: 0.0, score: -inf
 2024-05-01: n_trades: 2, win_rate: 0.5, pf: 1.0856500248180012, pnl: 2.0, avg_pnl: 1.2638397216796875, score: -0.08778634370862175, threshold_trade: 0.4755859375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 17, trades: []
 2024-05-02: n_trades: 2, win_rate: 0.5, pf: 2.066666666666667, pnl: 80.0, avg_pnl: 40.0, score: 0.6939463015022627, threshold_trade: 0.453369140625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 44, trades: []
 2024-05-07: n_trades: 4, win_rate: 1.0, pf: inf, pnl: 2864.0, avg_pnl: 716.056884765625, score: 2.7294189572849934, threshold_trade: 0.5419921875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 78, trades: []
 2024-05-08: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.5404057679352937, pnl: -24.0, avg_pnl: -8.272696495056152, score: -0.23774740792649332, threshold_trade: 0.421630859375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 51, trades: []
 2024-05-09: n_trades: 3, win_rate: 0.6666666666666666, pf: 1.5402271247235995, pnl: 15.0, avg_pnl: 5.248925685882568, score: -0.051872808313374014, threshold_trade: 0.38330078125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 84, trades: []
 2024-05-10: n_trades: 5, win_rate: 0.2, pf: 0.2747229103623815, pnl: -94.0, avg_pnl: -19.005659103393555, score: -0.3934059995964402, threshold_trade: 0.4068359374999999, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 124, trades: []
 2024-05-13: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 39.0, avg_pnl: 19.863374710083008, score: 0.050882996541156494, threshold_trade: 0.49462890625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 14, trades: []
 2024-05-14: n_trades: 5, win_rate: 0.4, pf: 0.3823878078814953, pnl: -66.0, avg_pnl: -13.3529691696167, score: -0.33193214030481394, threshold_trade: 0.505, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 115, trades: []
 2024-05-15: n_trades: 4, win_rate: 0.25, pf: 0.3586009004644664, pnl: -73.0, avg_pnl: -18.323719024658203, score: -0.263668546243704, threshold_trade: 0.497314453125, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 55, trades: []
 2024-05-16: n_trades: 4, win_rate: 0.75, pf: 1.2398796081542969, pnl: 16.0, avg_pnl: 4.197894096374512, score: -0.07091888947436356, threshold_trade: 0.48486328125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 83, trades: []
